region	padj
chr11:104693747-104695747	0.817570329
chr4:73721014-73723014	0.817570329
chr3:52302880-52304880	0.822616668
chr1:201613283-201615283	0.824011402
chr21:33197709-33199709	0.824011402
chr3:69982557-69984557	0.824011402
chr9:70418877-70420877	0.824011402
chr17:34248157-34250157	0.824944984
chr1:13641902-13643902	0.827697777
chr14:95479420-95481420	0.827697777
chr20:40497353-40499353	0.829954913
chr1:204506082-204508082	0.840982092
chr10:61396735-61398735	0.840982092
chr2:42809317-42811317	0.840982092
chr11:59272364-59274364	0.841071997
chr8:89891751-89893751	0.844881821
chr1:232629382-232631382	0.846050336
chr1:1354444-1356444	0.846155246
chr6:29776565-29778565	0.846155246
chr2:26144024-26146024	0.846826164
chr1:161611487-161613487	0.851856859
chr2:121074065-121076065	0.862964763
chr1:144545540-144547540	0.865921954
chr6:14731915-14733915	0.873762333
chr1:155940248-155942248	0.877220896
chr3:12221972-12223972	0.886824904
chr10:6381263-6383263	0.887266055
chr14:95500301-95502301	0.893750306
chr11:61027836-61029836	0.895909264
chr4:54004684-54006684	0.895909264
chr14:49907038-49909038	0.896255828
chr19:11421003-11423003	0.900728758
chr11:76689815-76691815	0.90564063
chr2:227406483-227408483	0.913506842
chr1:110507448-110509448	0.916033337
chr7:26102770-26104770	0.916033337
chr3:113625306-113627306	0.917051078
chr10:3850929-3852929	0.919950303
chr17:74554278-74556278	0.921660126
chr3:12138434-12140434	0.921660126
chr8:54161006-54163006	0.926152325
chr14:75340473-75342473	0.929557429
chr3:148790119-148792119	0.931209339
chr10:62243250-62245250	0.935101272
chr6:30356924-30358924	0.935101272
chr11:62024517-62026517	0.935784205
chr14:49879348-49881348	0.935932502
chr14:49882011-49884011	0.935932502
chr5:54645661-54647661	0.935932502
chr6:159061852-159063852	0.948440418
chr6:14148140-14150140	0.94861189
chr19:48880302-48882302	0.951592847
chr4:38751398-38753398	0.951592847
chr8:100907722-100909722	0.956719255
chr17:75300425-75302425	0.959597209
chr4:153740692-153742692	0.960506183
chr1:201592553-201594553	0.962707033
chr7:157278502-157280502	0.967520856
chr8:11877135-11879135	0.968909965
chr14:61103101-61105101	0.978945305
chr2:144672661-144674661	0.981914593
chr1:87203234-87205234	0.986183773
chr7:150777754-150779754	0.999678727
