gene	pval
DNAJB6	0.016999857
TTC28	0.017023135
PCSK5	0.017263875
NCAPD2	0.017329992
ELAVL4	0.017371515
ACLY	0.017441841
ARG2	0.017441841
FER1L3	0.017514881
CEBPB	0.017516681
SYNJ1	0.017536692
USP46	0.017554138
CLMN	0.01769161
DLD	0.017698417
LAMP1	0.017739525
FAM108A1	0.017812029
MED1	0.017812029
CDT1	0.017832314
SLC27A6	0.017857772
AK1	0.017880338
BMPR1A	0.018082144
CXCR4	0.018100769
GALNT10	0.018100769
CEBPD	0.018102953
LSM4	0.018122081
PEBP1	0.018122081
RAB31	0.018133843
BTG3	0.018163551
DSTN	0.018177537
PLSCR1	0.018196727
HNRPA3P1	0.018260963
ALCAM	0.01831738
ACOX2	0.018318311
CGRRF1	0.018423638
NNT	0.018512226
HHIPL2	0.018514781
NOL5A	0.018514781
SNCAIP	0.018833028
TGIF2	0.018848013
EMCN	0.019038413
MPZL1	0.0190929
TRIM28	0.019116732
CALM1	0.019167663
MBOAT2	0.01922645
PRSS16	0.019271039
FAM127B	0.019401115
MT1E	0.019401115
NETO2	0.019401115
IMPAD1	0.019447857
SACS	0.019477566
RHOF	0.019551592
KYNU	0.019552861
MPEG1	0.019776001
TIA1	0.01986842
HEXB	0.019943115
LIMD2	0.020018916
MYBL1	0.020018916
FOXF2	0.020131936
CXADR	0.020138485
MEX3C	0.020146373
RAB38	0.020146373
C5orf13	0.020151036
HNRNPC	0.020297697
SLC26A6	0.020340457
VWF	0.020382992
SRD5A1	0.020398055
HMOX1	0.020451882
ZBTB3	0.020542348
ELN	0.020796937
TUBA1B	0.020832604
RNMT	0.020897145
BAZ1B	0.021014313
SLC35E2	0.021014313
ST13	0.021014313
RAD23A	0.021121696
SGMS1	0.021121696
MFSD1	0.021122827
NOL7	0.021178131
TLL2	0.021237863
VPS16	0.021237863
HOXD9	0.021414729
SRP19	0.021487802
ASF1B	0.021524817
CPZ	0.021524817
PLAC1	0.021524817
SERINC5	0.021524817
ZMPSTE24	0.021524817
GSTM3	0.021548572
HAMP	0.021568156
RPP30	0.021647458
LTBP4	0.021670581
BAD	0.021737579
ASMTL	0.02177328
SETBP1	0.021816419
MT1X	0.021826625
KIAA0515	0.02186045
PDLIM1	0.02186045
RABGGTB	0.021913902
NCAN	0.022016561
SPINK1	0.022027406
ANXA4	0.022033152
GPR37	0.022176571
RPL36	0.022265943
PAICS	0.022271661
RAB5A	0.022334961
TMEM5	0.022334961
C1orf115	0.022342191
NHP2L1	0.022342191
PITPNA	0.022482258
TRIM37	0.022543309
ELP4	0.022575634
PDGFRB	0.022686439
CRABP2	0.022724004
TMEM16K	0.02274668
SQSTM1	0.022805855
ATP5S	0.022918537
TOR1AIP1	0.022990851
ACY1	0.023097463
EEF1E1	0.023109811
C6orf108	0.02315594
MBD3	0.023182314
MAGT1	0.023226394
NDRG4	0.023226394
CD81	0.02335534
ZNF589	0.023476979
TRAM1	0.023660926
ILF3	0.023726864
SLC29A2	0.023727272
RARS	0.023756242
IFRG15	0.023829404
RCN2	0.023932278
NIP7	0.023953037
SHMT2	0.023963956
RPL24	0.024342805
SPCS3	0.02440178
WIPI2	0.02453182
EIF2AK1	0.024634602
B2M	0.02467662
GPS2	0.024804503
METTL7A	0.024804503
BHLHB2	0.024996536
STAG1	0.025078165
CSNK1D	0.025094686
LPPR2	0.025094686
NTRK2	0.025094686
ZHX2	0.025094686
SIAH1	0.02517085
KBTBD11	0.025193597
ACTR3	0.025297974
GYG2	0.025377475
MAP1LC3C	0.025501807
ATP6V0E2	0.025591942
C1orf80	0.025838575
SORL1	0.025838575
ASNSD1	0.025873886
ARG1	0.026003325
RAB17	0.026060521
GLB1	0.026094127
ARPC2	0.026471495
RBMS1	0.026632241
CSDA	0.026650456
GRN	0.026672353
WDR79	0.026672353
MRCL3	0.026848144
RPS19	0.026848144
PLCG1	0.027055717
TNFAIP1	0.027353032
RY1	0.02764617
TICAM2	0.02764617
CDIPT	0.027655097
FLII	0.027697012
MOSPD3	0.027698937
CLTC	0.027703791
MAPK8IP3	0.027753521
CBARA1	0.027814578
COL6A2	0.027814578
TOMM7	0.027848388
SLC2A3	0.027939154
DEGS1	0.027939167
ZDHHC4	0.027951065
C6orf62	0.028118312
OSBP	0.028127469
DDX50	0.028160934
SCCPDH	0.028294027
FKBP4	0.02838486
PLS1	0.028481526
AMD1	0.02864711
NUP210	0.028700183
EMX2	0.028904149
GDAP1	0.028916491
SMAD5	0.02892448
EIF1AX	0.029100102
ZNF692	0.029100102
PRKDC	0.029125397
SEMA3C	0.029326646
ELMO2	0.02935618
LEF1	0.029418426
BMP2K	0.029459342
IGSF3	0.029459342
TMSL8	0.029708616
BAG4	0.029726965
ABCC10	0.029747079
CUGBP1	0.029819741
APOH	0.030035513
TRAF3	0.030061915
METAP2	0.030135334
AFF3	0.03016197
NCOR2	0.030268429
BCAS4	0.030368175
PROM1	0.030368175
ATP1B1	0.03044663
DGKI	0.03044663
KIAA0247	0.03044663
MCAM	0.03044663
PDZRN3	0.03044663
CELSR2	0.030502189
ATP5H	0.030571165
SSTR2	0.030571165
PPBP	0.030682567
MAP4K1	0.030723456
OSBPL10	0.030723456
PHF16	0.030723456
TIMP3	0.030817178
GRB2	0.03104135
PLCB1	0.031062732
BTD	0.031091461
CAPZB	0.031091461
RFX4	0.031226488
JUN	0.031237665
STARD7	0.031372831
SFRS8	0.031435461
SSFA2	0.031464916
UBB	0.031540362
MGC4172	0.031563212
ZNF200	0.031585272
LIMCH1	0.031851312
RPN2	0.032053987
SFRS18	0.0320635
DPY19L2P2	0.032168527
ODC1	0.032454958
RABGAP1	0.032514473
ABCA1	0.032528274
ZNF292	0.032528274
DAZAP2	0.032568287
CHFR	0.032675059
DZIP1	0.032786049
IGF2AS	0.033023927
ZNF529	0.033037899
NXPH4	0.033251727
MECP2	0.033269355
MYLPF	0.033349875
VPS28	0.033360321
C6orf105	0.033382898
IFT20	0.03340813
SAC3D1	0.033432997
SLC25A1	0.033495479
UNC13B	0.033497081
ANKZF1	0.033777799
PCMT1	0.033862089
IFITM1	0.033951274
SUMO1	0.033953641
MEF2A	0.034119408
SLC33A1	0.034437221
PPFIA4	0.034485353
LPPR4	0.034614
VCL	0.034614
GAMT	0.035003543
CDO1	0.035166832
UBAP2L	0.035166832
STRA6	0.035182873
FGF17	0.035285194
FH	0.035285194
RPL36AL	0.035285194
PSD3	0.035358355
VSNL1	0.035442841
TM9SF3	0.035704063
MRPS17	0.035778773
C15orf39	0.036101854
NPY6R	0.036155404
RANBP9	0.036395111
COPA	0.036563584
ETV6	0.036610204
ERLIN2	0.036652729
LGI1	0.036668178
PRDM4	0.036668178
SUPT4H1	0.036676753
TRPC1	0.036705238
BARX1	0.036785532
CTLA4	0.036904525
BICD2	0.03691602
LYPD1	0.037060526
ZMYM3	0.037060526
NDUFC2	0.037071583
UNC50	0.037258313
PHACTR4	0.037531719
LZTS1	0.037580762
PHF17	0.037616615
KIAA0265	0.037810305
SNRPN	0.038117947
PSMB4	0.038156717
ATP6V1A	0.03831273
EPHA2	0.038404435
PRNP	0.038664281
CHMP5	0.038821444
NAT10	0.038942346
SSR1	0.03919849
CDH3	0.039475014
PHF10	0.039475014
RENBP	0.039475014
VAMP7	0.039475014
YWHAZ	0.039475014
GPC6	0.039544237
CENTA1	0.039560712
EIF4E	0.039560712
CDKN1B	0.039682946
MYO1C	0.039766939
RASSF1	0.039825642
GAP43	0.039850467
PLD3	0.039850467
WWC3	0.039855526
ABCA11	0.039871798
ATP5O	0.039871798
CLEC3B	0.039871798
TPR	0.039871798
MAP3K4	0.040007931
DNMBP	0.040208506
OIP5	0.040783478
UBE2L3	0.040801774
EIF4B	0.040804674
IDH1	0.041048497
SEMA3E	0.041415838
RTN1	0.041526394
SLC39A8	0.041526394
TOMM20	0.041556478
FOLR1	0.041614321
HSD17B4	0.041648299
SLC24A1	0.041648299
C14orf156	0.041688084
OAZ1	0.041709494
ENG	0.041786428
MKI67	0.041818667
PRKACB	0.04182733
PDE4DIP	0.041940001
GSTP1	0.042063006
ATP6V0A2	0.042076255
ACTL7A	0.042083246
PIK3CB	0.042138952
JAKMIP2	0.042142222
KLHL22	0.042258319
TRO	0.042258319
MBNL1	0.042481091
GINS1	0.042527206
MERTK	0.042563523
SAP18	0.042663494
MAPK1IP1L	0.04271265
NPDC1	0.042727038
SLC25A13	0.042727038
PPP1R12B	0.042793007
KANK1	0.043035472
MFN2	0.043035472
CECR1	0.043064069
VIM	0.043127795
ESRRG	0.043208239
S100A13	0.04326925
TCN2	0.043345441
CXXC1	0.043448947
PRIM1	0.04349743
WDR13	0.04349743
IL1A	0.043566943
VPS33A	0.043621814
PRODH2	0.043725476
CFLAR	0.043774553
HHEX	0.043821072
ABHD9	0.043930776
ANXA11	0.044094812
LUC7L2	0.044094812
MTDH	0.044133462
MGST3	0.044229611
RASSF7	0.044229611
COPB2	0.044284016
TMPRSS11E	0.044284016
PKD1	0.044385792
IDE	0.044571487
TDO2	0.044571487
UNC84B	0.044600495
ARL1	0.044951475
RPE	0.044951475
DBT	0.045023544
ZMYND11	0.045023544
G6PD	0.045308841
SLC3A2	0.045410066
ADAM10	0.045412203
RPL10	0.045487181
GNG3	0.04563308
ZNF654	0.045680954
BSCL2	0.045685441
TSR1	0.04573948
WWOX	0.04573948
BFSP1	0.045777105
HOXA1	0.045873888
LIMS1	0.045873888
FAM134A	0.045932976
NUP54	0.045932976
TTLL1	0.046147192
TAF7	0.046162198
TFE3	0.046344035
NFU1	0.046369405
CSTF1	0.046383593
C1orf61	0.046388981
TRIM44	0.046388981
PIK3R3	0.046394673
RPS21	0.046507402
GTF2H5	0.046543039
TFAM	0.046543039
THOP1	0.046637866
THBD	0.046730568
COL5A1	0.047077077
KIAA0644	0.047077077
AUH	0.047164015
ABCC6	0.047237735
ELF3	0.047584304
FAM38A	0.047638045
JAK1	0.047649441
LOXL2	0.047708358
ISCA1	0.047998152
NRIP1	0.048018837
ATXN3	0.048243616
RGS16	0.048251243
EHHADH	0.048378818
ODZ3	0.048421057
SPCS2	0.048421057
MBD4	0.048717152
DLAT	0.048803825
YAF2	0.048815385
GABARAP	0.048929142
CLCN3	0.049025627
C9orf61	0.049309775
CLASP1	0.049366013
KIFAP3	0.049552142
NBPF12	0.049638017
NOTCH2NL	0.049704634
P2RX3	0.049739125
DTNA	0.049875615
CUL7	0.05020442
TMEM14B	0.05056445
ODAM	0.050658179
MYST3	0.050695095
TSPAN12	0.051118313
CBL	0.051186058
CORIN	0.051905405
SNRPE	0.052054564
MOBKL3	0.052221672
PRSS23	0.052221672
TYRO3	0.052221672
TES	0.052333769
MST1	0.052401555
RND1	0.052401555
CRAT	0.052449567
DARS	0.052635555
MT2A	0.052635555
SF3A2	0.052635555
MT1L	0.0526455
GJC1	0.052829479
LAMA5	0.052855543
SUZ12P	0.052936849
WASF1	0.052936849
GABARAPL3	0.052948292
PSME1	0.052990576
EIF4E2	0.053525932
UTP18	0.053957415
MAGED2	0.054020545
RNF40	0.054405283
CNIH	0.055041181
FAM107A	0.05526226
GLRX3	0.05526226
IQSEC1	0.05526226
NDUFB4	0.05526226
PSAT1	0.05526226
RAB11FIP1	0.05526226
D4S234E	0.055579395
JAM3	0.055730832
TUSC3	0.055820283
POLQ	0.055915069
BIK	0.056451791
PVRL3	0.056591555
FAM125B	0.056598654
MICB	0.056625256
SMAD6	0.056927392
XPO7	0.056927392
CITED2	0.057103493
WEE1	0.057124331
LY6E	0.057216422
ARL3	0.057240095
GPR20	0.057240095
CLN6	0.057301973
RDH11	0.057301973
ZWILCH	0.057491526
CETN3	0.057516691
PELO	0.057675786
TRAK2	0.057675786
PPT1	0.057768201
CDK7	0.057926001
DPAGT1	0.057926001
PTBP1	0.057926001
CAPRIN1	0.057995144
IRX5	0.057995144
FZD1	0.058123702
TBL1X	0.058231873
ATG5	0.058246042
ZFYVE21	0.058389448
BMS1	0.058459198
LARP1	0.058731548
ENTPD4	0.058867704
PABPN1	0.05930225
KCNV1	0.059376285
C11orf75	0.05958661
C21orf45	0.05958661
PSENEN	0.05958661
CACNG4	0.059644604
SOAT1	0.059644604
ASXL2	0.059654092
MANBA	0.059755791
SNX4	0.059809747
PCBP2	0.059984453
PDK2	0.060139569
EYA2	0.060656805
PRKCSH	0.060718964
ZIM2	0.061231065
MEST	0.061284733
CMTM6	0.061285294
PFDN4	0.061506889
MLLT11	0.061941724
TAX1BP3	0.062482403
HLA-C	0.062843975
DPYD	0.062923408
ARHGEF7	0.063111363
KIAA1598	0.063111363
CTPS	0.063255768
PCYT1B	0.06330236
C12orf11	0.063368051
TPP1	0.063424012
POLR2H	0.063447725
C2orf47	0.064006174
AGBL5	0.064561735
WDFY3	0.064752757
MAPK14	0.06498023
ATP6AP2	0.065170364
CXCR7	0.065170364
GNPTAB	0.065170364
BRP44L	0.065187127
KIDINS220	0.065511018
ALDH5A1	0.065709071
GOLGA1	0.065849124
ARPC3	0.065901366
SGK1	0.065938485
CAST	0.066065309
FBL	0.066065309
SIPA1L1	0.066065758
PLXNA2	0.066283982
CALD1	0.066334167
STT3A	0.066449553
SIRT5	0.066671872
THEM2	0.067011088
CEBPA	0.067154225
TARBP1	0.067154225
KRT19	0.067264556
BNIP2	0.067282116
ATRNL1	0.06728287
CXCL12	0.067304581
IFFO	0.067304581
RPL35	0.067362417
SYDE1	0.067362417
TRAF5	0.067362417
ATP2C1	0.067455561
C11orf24	0.067509462
ARL2	0.067516721
TMEM194	0.067679266
CDV3	0.06774073
ADAMTS5	0.068379436
FXR1	0.068862445
PI4KB	0.068862445
SOX10	0.068951655
UST	0.069025234
HLA-B	0.069063015
CAPZA2	0.06923177
C11orf30	0.069236429
TUBB2B	0.069299482
DDR2	0.069322053
TOB1	0.069322053
ETF1	0.069374628
CDC42EP4	0.069425487
PRKCZ	0.069425487
GOT1	0.070083647
MCL1	0.070148369
USP20	0.070148369
SPINT2	0.070255164
ABHD10	0.070362605
RPL17	0.070362605
CITED1	0.070634799
TSPAN4	0.070634799
DPYSL4	0.070685356
RAB1A	0.070747218
UBE2E3	0.070747218
ZNF500	0.070747218
ASGR1	0.070811909
TNFRSF11A	0.07082678
ZNF544	0.070832961
SRR	0.071161249
C12orf44	0.07137216
FUBP1	0.071637066
L1CAM	0.071650251
RAI14	0.071745163
DNA2	0.071855372
SLC25A15	0.07196537
AVEN	0.071970523
PTEN	0.072015048
TJP2	0.072439181
C14orf139	0.07253156
PPP3CA	0.072538196
WIZ	0.072569173
SHC1	0.072574007
RPS6	0.073714743
MFGE8	0.073876516
PNMA2	0.074003129
NPTN	0.074334756
TSPYL5	0.074342857
ARFIP2	0.074450321
EPB41L3	0.074450321
HNRPD	0.074599535
GABRP	0.074776677
CUL4A	0.074961628
INSIG2	0.074961628
FBXO11	0.075288169
DDX25	0.075319528
AKAP9	0.075563926
CD300A	0.075563926
PALM	0.075563926
SOX15	0.075564706
XRCC4	0.075575281
ATP6V0D1	0.075699026
SLC12A4	0.075699026
RICS	0.075786739
THOC7	0.07582256
TTF2	0.075826605
MUS81	0.075832065
DHFR	0.076028437
OBFC2B	0.076246546
CTTN	0.076408283
NHLH1	0.076454685
ARFGEF1	0.076744712
DDEF1IT1	0.076744712
PIP5K1C	0.076744712
FOXJ1	0.076774526
C19orf54	0.076815397
C10orf38	0.076820886
MTL5	0.076820886
OXTR	0.076820886
PHF20	0.076820886
MYL2	0.076970082
ORM2	0.077394992
EIF3B	0.077845173
RHEB	0.077845173
FAM45B	0.077847729
MAX	0.07797165
RAB2A	0.078457645
CAT	0.078489931
LRBA	0.0785015
COX7A1	0.079185224
VAMP2	0.079185224
NFKB1	0.080070296
TXNDC4	0.080070296
CX3CR1	0.08011425
CDC40	0.080169924
EIF3I	0.080183226
SNCG	0.080183226
ARFGAP2	0.08028726
LLGL2	0.080376274
TNS1	0.080540103
ORMDL2	0.080697419
RAB5C	0.080700599
DSP	0.08070456
FBN2	0.08070456
TALDO1	0.080738976
HOXB1	0.080946288
PRKAB2	0.080997056
PEG3	0.081148737
SMPDL3B	0.081171253
AGPAT4	0.081230235
SESN1	0.081385431
CALU	0.081417687
EPHX1	0.082207756
SLC39A1	0.082207756
CCNB1IP1	0.082478234
C19orf2	0.082988337
MYOD1	0.083486151
MINPP1	0.083545614
SCGN	0.083641372
TKTL1	0.083644357
STMN2	0.083819857
GOLPH3L	0.083869426
MTMR4	0.084331703
TNNT1	0.084407531
RGS4	0.084463166
FICD	0.084523607
SCARB2	0.084523607
TNNC2	0.0846891
TRAPPC3	0.084906658
GRSF1	0.085124979
TMEM176A	0.085124979
RBM5	0.085205932
SMARCA4	0.085205932
LOC150759	0.085275975
NUP50	0.085275975
ZKSCAN3	0.085307632
FBXO7	0.08544431
MAP2	0.085684858
DNAJA2	0.085734746
KIAA0922	0.085899038
MADCAM1	0.086119521
NRAS	0.086119521
BCL10	0.086134069
ZFHX4	0.086234013
KIAA0859	0.086434937
NUDT4	0.086451952
STX16	0.086467946
GATA4	0.086578081
BMP4	0.086631186
CNIH4	0.086722054
ADH5	0.086736271
DENND1A	0.08743629
CBFA2T2	0.087436794
SORCS3	0.087583777
WNT5B	0.087607261
GDF10	0.087741304
MSX1	0.087807281
TM9SF2	0.088547859
KDELR1	0.088602114
EPB41L4B	0.088768512
C5	0.089289463
COL4A3BP	0.089289463
SLC27A3	0.08976548
TFAP2A	0.090087835
HERPUD1	0.090120616
MTRR	0.090120616
RAP1B	0.090120616
SBF1	0.090242404
ANGPT2	0.090243637
NT5E	0.090285868
MORF4L1	0.090733846
VEZT	0.090735971
NCOA6	0.090813954
DHCR7	0.091565095
NMT2	0.09166606
NAIP	0.091769798
CACYBP	0.092070678
BLMH	0.092203711
FGFR2	0.092393831
FAM130A2	0.092413708
PEX10	0.092683878
ADSL	0.092816287
C7orf58	0.093452138
API5	0.09348629
PTGIS	0.093770885
ST3GAL6	0.09387957
MKNK2	0.094090837
FBXO3	0.094279171
TBX4	0.094332819
RER1	0.094640514
RPL13A	0.094640514
TSPAN7	0.094699984
YWHAB	0.094702373
LOC92249	0.094821668
TEK	0.095061231
CDH17	0.09514069
AP4S1	0.095327235
HRG	0.095524955
TSEN34	0.095613571
DLL3	0.095981114
MXD4	0.096094009
DDEF2	0.096184046
RTCD1	0.096184046
PYGM	0.09640385
RCBTB2	0.096530758
TROVE2	0.096530758
METT10D	0.096736453
PDLIM2	0.096850994
HEATR2	0.096866283
ARID5B	0.096967362
CALM3	0.097382174
ARHGAP1	0.097510318
C7orf28B	0.097510318
CDC6	0.097537293
ELK3	0.097672532
NR6A1	0.09772482
LYPLA1	0.097754546
LIPG	0.097757672
PRIM2	0.097903538
MRPL42	0.098004136
PDIA6	0.098137581
CDX4	0.098175501
ACTR1B	0.09831096
USP36	0.098359544
KRT8	0.09839403
FAM127A	0.09857772
PDGFD	0.098724948
NFIL3	0.099213312
DYNLL1	0.099284292
HLTF	0.099484976
FCF1	0.099494678
ABI2	0.099713637
VAMP3	0.099900123
ANGPT1	0.099960588
NUDT1	0.099960588
PAFAH1B1	0.099996269
ADM	0.100005546
SPAM1	0.100844704
SERF2	0.101065534
GHR	0.101115473
KLHDC8A	0.101331255
DCUN1D4	0.101454314
LEPROTL1	0.101817313
TCEAL1	0.101984875
CILP	0.102141792
ZDHHC3	0.1021539
SAPS2	0.102644259
SLC2A1	0.102695483
LOC643246	0.102885886
WIPF1	0.102953133
TNFRSF25	0.103327813
KIAA1305	0.103371392
CHMP2B	0.103402931
FTL	0.103470266
BSG	0.10388907
HDAC1	0.10388907
PAPSS1	0.10388907
PDZRN4	0.10388907
PSMA3	0.10388907
STK24	0.10388907
UNG	0.10388907
PAPOLA	0.104016831
PGCP	0.104094153
AMPD2	0.10459649
LOC92482	0.10489901
ALG6	0.105004496
PPL	0.105246743
NQO2	0.106100602
PRMT1	0.106100602
BCKDHB	0.106279829
FRMD4A	0.10629183
RIMS2	0.1063987
CSRP2	0.106556042
RBM15	0.106833384
AP2A2	0.10685969
BDH2	0.106887419
TOMM34	0.107153793
CAP1	0.107238128
PDE8A	0.107288988
SLN	0.107926854
SLC35D2	0.108013248
SLC25A38	0.108041737
XPO4	0.110004304
PKIA	0.11040692
TUBB6	0.110743859
KIAA0182	0.110925436
DCTN5	0.111032367
RBM9	0.111061774
GAPDH	0.111314103
FHOD1	0.111391042
LAMB1	0.111435311
TAF9B	0.111449205
NCF1	0.111591508
MAGI1	0.111840257
SIX2	0.111840257
TNIP2	0.111984711
HYAL1	0.112751695
ADO	0.112788567
C10orf26	0.112811322
MICAL2	0.112811322
SH3GLB1	0.11300137
HLA-DMA	0.113559124
CHD3	0.113949532
HAPLN1	0.113949532
ASF1A	0.114082884
TAAR3	0.114082884
WHSC2	0.114274356
PTPN12	0.115024234
SP1	0.115732943
TMEM35	0.115732943
FZD4	0.115898204
RAB33A	0.116277695
ZNF394	0.116480221
COLEC12	0.116569626
GATA6	0.116627438
C20orf67	0.116641124
RNF141	0.116641124
TRIM29	0.116641124
M6PR	0.116817002
PARP16	0.116817002
RASA4	0.117037978
ABCC1	0.117432084
PPP2R5A	0.117573723
ENOX2	0.11779223
CES2	0.118405096
ATP6V1E1	0.118491138
NEFL	0.118491138
BMP1	0.119328066
LRPPRC	0.119328066
LAMC3	0.119964415
PIK3CD	0.120420046
DYRK4	0.120536697
RELA	0.120536697
NUCB1	0.12092215
P4HB	0.120951596
CDKN2D	0.121134311
COL1A1	0.121134311
DUSP5	0.121134311
SCN5A	0.121134311
FLJ12529	0.121180771
RBM4B	0.121795556
CPD	0.122503896
ANAPC1	0.122602457
SEC11A	0.122955197
SEMA4D	0.123440835
PDLIM5	0.123706691
NUP155	0.123795002
MAP2K7	0.124409482
CST3	0.124776139
F5	0.125110972
SHC2	0.125157722
BIN1	0.125250157
AHCY	0.125306591
ANGEL2	0.125306591
EDN3	0.125341987
MED21	0.125576706
SNRPD1	0.125904743
LOC391132	0.125955729
CD302	0.126053831
ITM2A	0.126053831
PAK4	0.126053831
FAM32A	0.126232556
ACTR2	0.126873246
UCK2	0.127109536
TM7SF2	0.12747247
PACS2	0.127515205
ZNF148	0.127638107
RFC5	0.127675489
GIPC1	0.127809753
OBSL1	0.128591655
PRKAG2	0.128591655
SLC9A6	0.128882294
CLK2	0.129787347
LASS6	0.129787347
RPLP0-like	0.129787347
HEATR1	0.13006885
PSME3	0.130072846
C3	0.130329056
GPSN2	0.130461598
C21orf59	0.130487259
TNFAIP8	0.130525938
IMPA2	0.130579615
LDOC1	0.130598461
NLK	0.130598461
GPI	0.13082973
DLX2	0.131601007
FGF2	0.131781735
KIAA0280	0.13192222
HRSP12	0.131977395
DPP3	0.132270961
SH3BP5	0.133159703
TPK1	0.133159703
KNG1	0.133235652
LARP5	0.133783611
ABHD2	0.13387708
NPC2	0.134432803
DNAJB9	0.134888489
NENF	0.134888489
EFS	0.135002788
TGFB1	0.135935875
UQCRB	0.136227314
PCBD1	0.13628092
CMPK1	0.136298805
GALNAC4S-6ST	0.136298805
PNPLA4	0.136298805
RPA1	0.136298805
PBX3	0.136392133
GTPBP2	0.136572629
JARID1B	0.13659417
RUNX1T1	0.13659417
CAPN2	0.136607468
DCHS1	0.136692959
ERAP1	0.136717491
SENP7	0.13730648
EDG2	0.137461893
POU3F2	0.137507106
JAG2	0.137720817
UGDH	0.137994728
OTUB1	0.138298273
DTX3	0.138649385
DNAJC15	0.13953157
PSMB2	0.139555692
ACSS3	0.139701411
BLVRA	0.13998569
TRIO	0.140079046
LAMA4	0.140517147
ALDH9A1	0.140539774
FLJ11184	0.140539774
FABP1	0.140635461
ECSIT	0.140834026
GPX7	0.141251629
NUAK2	0.141251629
IFITM3	0.141648288
HAL	0.141866305
MAST4	0.142228447
POLR1D	0.142228447
C3orf63	0.142325961
SETD4	0.143047786
TCEB1	0.143171101
R3HDM1	0.143284701
ETS1	0.143940515
PAAF1	0.14400269
PXMP3	0.144283201
MBOAT5	0.14466618
YPEL5	0.144719541
BEX1	0.145328527
FOXD2	0.145837545
TXN	0.145837545
ROBO3	0.14594491
SPATA20	0.14594491
KHDRBS3	0.146134365
SLC2A10	0.146241846
TERF2IP	0.146352354
C6orf134	0.146566341
SIAH2	0.146941149
PDYN	0.14722286
PPME1	0.147308622
RPL3	0.147308622
TMF1	0.147308622
MSTP9	0.147395161
GYPB	0.147498405
IDH3A	0.147498405
QRSL1	0.147668086
RXRG	0.147668086
DSCR6	0.147809145
ATP11A	0.147818158
NFIB	0.147926239
STAT1	0.1486002
AK2	0.148641111
RHOA	0.148766462
CCDC28A	0.148826084
RPL31	0.14948151
NRTN	0.149542264
BMPR2	0.149845848
LAMB2	0.149845848
PIK3C3	0.149845848
RPL4	0.149845848
PRKAR1A	0.150049546
NFYA	0.150354591
C12orf24	0.150552215
MPI	0.150771664
KIAA0101	0.15097794
PTPN11	0.15097794
SNCA	0.151894515
C12orf5	0.152523897
CUX2	0.152869469
FLOT2	0.153365016
CD70	0.153578279
GBE1	0.153699407
HERC5	0.153832857
ORM1	0.154015951
PLTP	0.154026651
GRM7	0.154084721
UCHL1	0.154128941
RP1-21O18.1	0.154856215
TFB1M	0.155108076
NFRKB	0.155447229
SNX10	0.155447229
C1orf2	0.155592642
NKAIN1	0.155857023
TTRAP	0.155953611
FDX1	0.157232844
PCTP	0.157429947
IFIT1	0.157674121
PRKCDBP	0.157763632
COMMD3	0.157895904
C1orf135	0.157980229
PTPN14	0.157980229
RASSF4	0.158169991
C1orf107	0.158417352
BRP44	0.159175364
G6PC	0.159306051
DLG5	0.159502136
GPR56	0.159966069
COG7	0.160282229
NUP160	0.160567574
RBMS3	0.161056165
SLCO3A1	0.161691004
CD248	0.161913385
VASH2	0.161913385
SNX7	0.161959384
CAPN6	0.162188587
NCK1	0.162851955
PPID	0.162978196
NPHS2	0.163125962
MEOX2	0.163425171
C16orf45	0.163446113
DIP2C	0.16374004
PMPCB	0.16374004
ZDHHC18	0.16374004
FAM48A	0.163819897
ZKSCAN1	0.163869136
NOTCH3	0.164011598
TOR1B	0.164265995
CTNND2	0.164486923
HOXB6	0.164974944
TCOF1	0.165122211
PGRMC2	0.165168605
TRA@	0.165168605
RAB7A	0.165352959
DMWD	0.16595904
MYO16	0.166060738
FGD1	0.166684596
THSD7A	0.167144542
CIRBP	0.167260663
PJA1	0.167880051
EXT2	0.168195053
XAB1	0.168195053
FXYD2	0.168220155
CASQ2	0.169106179
ALG8	0.170624362
CDH11	0.170624362
HIST2H2AA3	0.171282815
NEBL	0.171321896
DNAJC6	0.17164451
PLOD3	0.171725421
CSPG5	0.171897298
DDOST	0.172226297
HSPA5	0.17243661
PPP1CB	0.173442212
VPS41	0.173442212
RPL15	0.173662416
AMIGO2	0.174261145
C20orf103	0.174406629
USP16	0.174632408
EFCAB1	0.174663
SLC1A5	0.174899362
GABARAPL1	0.174987223
CASC3	0.17556043
SNAP25	0.175640145
TMED7	0.175780041
GRIK2	0.175823905
LASP1	0.176091503
ZNF804A	0.176297488
USP47	0.176442711
KCNH2	0.176569729
HLA-G	0.17743778
HSPA8	0.177627864
DSC2	0.178559941
NCOA4	0.178600374
PCGF1	0.179193063
C11orf9	0.179445984
DCT	0.180133909
PTPN13	0.180133909
CCDC28B	0.180198801
GAD2	0.180253626
SHMT1	0.180464093
PIGV	0.180729633
HEPH	0.181058256
RBM3	0.181058256
DDR1	0.181603317
RPL7	0.181736542
SC4MOL	0.182941631
LOXL1	0.182949186
LRP1B	0.183657936
DPM1	0.184084807
NUAK1	0.184084807
P2RY6	0.184289196
HLA-DRB1	0.184915149
TUFT1	0.184915149
YARS2	0.184915149
CHCHD8	0.185043403
CAMKV	0.185167157
RNF144A	0.185253003
FASTKD1	0.185314679
F10	0.185865119
